"","title","Archive_Date","position","location","url","District","Category","Broad_Category"
"3023","Agriculture Education Teacher",2025-03-07,"Teacher","Hulett K-12","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Agriculture Education","CTE"
"3024","Secondary Art Teacher",2025-03-07,"Teacher","Moorcroft Secondary","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Art Teacher","Art"
"3025","K-12 Music Teacher",2025-03-07,"Teacher","Hulett K-12","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Music Education","Music"
"3026","Secondary Science Teacher",2025-03-07,"Teacher","Moorcroft Secondary","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Science Education","STEM"
"3027","Secondary Social Studies Teacher",2025-03-07,"Teacher","Moorcroft Secondary","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Social Studies Education","Secondary Social Studies"
"3028","Junior High English Teacher",2025-03-07,"Teacher","Hulett K-12","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","English Language Arts Education","English Language Arts Secondary"
"3029","Elementary Teacher",2025-03-07,"Teacher","Gannett Peak Elementary","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Elementary Education","Elementary"
"3030","Elementary Teacher",2025-03-07,"Teacher","Baldwin Creek Elementary","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Elementary Education","Elementary"
"3031","Language Arts Teacher",2025-03-07,"Teacher","Lander Middle School","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","English Language Arts Education","English Language Arts Secondary"
"3032","Language Arts Teacher",2025-03-07,"Teacher","Lander Valley High School","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","English Language Arts Education","English Language Arts Secondary"
"3033","Family and Consumer Science Teacher",2025-03-07,"Teacher","Lander Middle School","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Family and Consumer Science","CTE"
"3034","Science Teacher",2025-03-07,"Teacher","Lander Middle School","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Science Education","STEM"
"3035","Special Education Teacher - Elementary level",2025-03-07,"Teacher","Gannett Peak Elementary","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Special Education","Special Education"
"3036","Music Teacher K-8th Grade (Open Until Filled)",2025-03-07,"Teacher","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Music Education","Music"
"3037","Elementary Teacher",2025-03-07,"Teacher","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Elementary Education","Elementary"
"3038","Math Teacher - Middle School 2025-2026 School Year",2025-03-07,"Teacher","Fort Washakie Middle School","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Mathematics Education","STEM"
"3039","Special Education Teachers - Life Skills - Open until Filled",2025-03-07,"Teacher","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Special Education","Special Education"
"3040","Special Education Teachers (Grades K-12)",2025-03-07,"Teacher","Fort Washakie Middle School","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Special Education","Special Education"
"3041","Secondary Strength Conditioning/PE/Health Teacher 2025-2026",2025-03-07,"Teacher","Shoshoni JH/HS","https://www.applitrack.com/fremont24/onlineapp/default.aspx?all=1","Fremont County School District 24","Physical Education","Physical Education"
"3042","Elementary Special Education Teacher 2025-2026",2025-03-07,"Teacher","Special Ed Dept","https://www.applitrack.com/fremont24/onlineapp/default.aspx?all=1","Fremont County School District 24","Special Education","Special Education"
"3043","Music Teacher",2025-03-07,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Music Education","Music"
"3044","Music Teacher",2025-03-07,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Music Education","Music"
"3045","Elementary Teacher",2025-03-07,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Elementary Education","Elementary"
"3046","High School Math Teacher",2025-03-07,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Mathematics Education","STEM"
"3047","Special Education Teacher",2025-03-07,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Special Education","Special Education"
"3048","Special Education Teacher",2025-03-07,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Special Education","Special Education"
"3049","Industrial Arts Teacher (Secondary)",2025-03-07,"Teacher","Wind River Middle/High School","https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6","Technical Education","CTE"
"3050","Athletic Director/Teacher",2025-03-07,"Teacher","District Wide","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14","Uncategorized","Other"
"3051","High School Social Studies Teacher",2025-03-07,"Teacher","Wyoming Indian High School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14","Social Studies Education","Secondary Social Studies"
"3052","Middle School Mathematics",2025-03-07,"Teacher","Wyoming Indian Middle School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14","Mathematics Education","STEM"
"3053","Elementary Education Teacher",2025-03-07,"Teacher","Ralph Witters Elementary School","https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1","Hot Springs School District 1","Elementary Education","Elementary"
"3054","HS English Teacher",2025-03-07,"Teacher","Hot Springs County School District #1","https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1","Hot Springs School District 1","English Language Arts Education","English Language Arts Secondary"
"3055","Half Time Music Teacher",2025-03-07,"Teacher","Kaycee K-12 School","https://www.applitrack.com/jcsd1/onlineapp/jobpostings/view.asp?internaltransferform.Url=&all=1","Johnson County School District 1","Music Education","Music"
"3056","Special Education Teacher",2025-03-07,"Teacher","Cloud Peak Elementary School","https://www.applitrack.com/jcsd1/onlineapp/jobpostings/view.asp?internaltransferform.Url=&all=1","Johnson County School District 1","Special Education","Special Education"
"3057","Elementary Teacher",2025-03-07,"Teacher","Canyon Elementary School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1","Elementary Education","Elementary"
"3058","K-6 Physical Education Teacher",2025-03-07,"Teacher","Canyon Elementary School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1","Physical Education","Physical Education"
"3059","Secondary English Teacher",2025-03-07,"Teacher","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1","English Language Arts Education","English Language Arts Secondary"
"3060","K-12 Special Education Teacher",2025-03-07,"Teacher","Canyon Elementary School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1","Special Education","Special Education"
"3061","Title I Teacher - Part-time",2025-03-07,"Teacher","Southside Elementary School","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1","Uncategorized","Other"
"3062","Special Education Resource Teacher",2025-03-07,"Teacher","Cody High School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6","Special Education","Special Education"
"3063","Special Education Resource Teacher",2025-03-07,"Teacher","Cody Middle School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6","Special Education","Special Education"
"3064","BHHS Math Teacher",2025-03-07,"Teacher","Big Horn High School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1","Mathematics Education","STEM"
"3065","Vocational Agriculture Teacher and FFA Sponsor",2025-03-07,"Teacher","Big Horn High School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1","Agriculture Education","CTE"
"3066","4th/5th Grade Classroom Teacher - Story Elementary",2025-03-07,"Teacher","Story","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Elementary Education","Elementary"
"3067","Special Education Teacher - Henry A. Coffeen Elementary School",2025-03-07,"Teacher","Henry A. Coffeen","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Special Education","Special Education"
"3068","4th Grade Classroom Teacher - Sagebrush Elementary",2025-03-07,"Teacher","Sagebrush","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Elementary Education","Elementary"
"3069","K-5 Classroom Teacher - HAC Elementary",2025-03-07,"Teacher","Henry A. Coffeen","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Elementary Education","Elementary"
"3070","Kindergarten Classroom Teacher - Sagebrush Elementary",2025-03-07,"Teacher","Sagebrush","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Elementary Education","Elementary"
"3071","4th Grade Classroom Teacher - Woodland Park Elementary",2025-03-07,"Teacher","Woodland Park","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Elementary Education","Elementary"
"3072","K-5 Classroom Teacher - Highland Park Elementary",2025-03-07,"Teacher","Highland Park","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Elementary Education","Elementary"
"3073","High School English Classroom Teacher",2025-03-07,"Teacher","Sheridan High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","English Language Arts Education","English Language Arts Secondary"
"3074","Special Education Classroom Teacher - Sheridan High School",2025-03-07,"Teacher","Sheridan High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Special Education","Special Education"
"3075","Special Education Teacher - Sheridan Junior High School",2025-03-07,"Teacher","Sheridan Junior High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Special Education","Special Education"
"3076","English Classroom Teacher - Sheridan Junior High School",2025-03-07,"Teacher","Sheridan Junior High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","English Language Arts Education","English Language Arts Secondary"
